RMSE,Penalty
0.000179174,7
1.16267e-11,8
0.273235,6
7.80106e-13,10
2.37468e-15,12
0.0200954,7
0.0968279,7
9.15725e-15,8
0.110531,4
0.0467376,6
0.230061,6
0.0061338,7
0.0226397,7
0.033828,5
0.0167222,6
0.0512453,6
0.0503401,6
2.13179e-15,8
1.43249e-14,8
0.0117914,7
0.0647582,5
0.0150377,7
0.0190329,6
0.0679392,4
0.0169987,7
0.0475595,6
0.0191075,4
1.94877e-14,8
1.77445e-14,9
0.0587756,5
4.29722e-15,8
0.0697718,6
0.0442514,7
0.0297105,5
0.062358,8
0.0581717,6
1.30414e-10,8
0.0426562,7
0.0196776,6
1.2687e-10,8
0.0941508,5
0.1105,4
0.0485418,6
0.0933892,5
1.92727e-10,8
3.5394e-15,8
0.0530179,6
0.0517867,6
0.0893814,5
0.0246862,6
9.27588e-16,8
0.135931,4
0.000588621,6
0.103592,7
0.0445216,7
1.44125e-12,8
0.0445954,5
8.33615e-15,10
2.66485e-13,8
0.0446589,7
0.0485437,5
0.053932,6
3.8971e-15,9
0.0602192,4
0.0245912,6
0.0458916,6
0.0517612,6
0.0700185,6
0.429271,3
0.050903,6
0.0564795,7
0.0484152,6
0.0389188,6
0.0586201,6
1.48411e-15,10
1.68093e-13,10
0.0431224,7
0.0366028,7
0.00858229,7
0.110534,5
0.0678958,5
0.0389857,6
0.0100987,7
0.045163,6
0.029602,7
2.40643e-15,8
0.318091,6
0.0423619,5
