RMSE,Penalty
4.64477e-15,12
2.15644e-14,15
1.07711e-14,11
6.28824e-15,14
1.08716e-13,8
0.291111,7
1.34557e-13,12
0.0118493,6
7.85688e-13,8
4.18879e-15,10
0.0480634,6
0.0352779,4
1.11742e-14,10
1.81247e-15,9
3.55943e-14,9
9.01739e-15,11
4.27458e-13,10
0.241715,7
0.028423,7
0.140731,7
0.00285255,7
0.00960255,7
0.0340576,5
3.81725e-14,10
0.17922,5
0.207036,4
1.21263e-13,8
0.0326614,6
0.0860026,5
0.202208,4
0.23068,6
0.301401,5
0.239078,3
0.0980612,4
0.0170262,7
0.399048,2
0.222682,3
0.0351808,5
0.0100914,6
0.00745319,6
0.0260464,6
0.0298472,5
0.130688,6
0.255033,2
0.200729,6
0.00843364,7
0.010034,7
0.00260711,6
2.67534e-15,10
2.38864e-13,8
0.0072825,7
0.0245543,6
0.0398902,6
2.30505e-15,11
0.00713711,4
0.042891,5
0.0534933,5
1.41503e-14,10
0.0350814,7
0.038891,5
0.0159392,7
0.0106629,7
0.0385591,6
0.0273923,6
0.0921366,4
0.0322913,6
7.02303e-13,8
0.0617257,5
0.034775,6
2.3405e-15,10
0.0204109,5
1.16297e-14,9
0.0279471,7
1.51207e-14,8
1.31488e-13,8
0.0101864,7
0.583176,6
3.20601e-12,10
0.0206072,7
0.0351305,7
0.0380458,6
0.033488,6
0.0326234,6
0.0651742,5
2.29082e-13,8
1.37368e-15,9
4.6009e-14,10
2.11402e-13,11
3.35552e-14,11
0.0507726,4
0.000567238,7
2.45575e-14,8
0.0480864,5
0.034644,7
0.00232402,5
0.00848903,7
0.554476,3
1.1218e-15,21
7.60241e-13,12
6.39333e-14,13
9.13774e-14,11
1.1035e-14,18
0.239686,8
4.59261e-14,11
0.0640783,9
0.161105,8
0.000947102,9
2.03504e-13,10
1.05718e-14,11
0.000321928,9
0.0306656,8
0.343356,5
0.0124875,9
9.44609e-14,10
0.0695539,7
0.128146,4
0.0285958,9
0.0519247,7
0.081144,8
0.265219,4
0.0904821,3
0.0518023,7
0.360458,5
0.0408218,7
0.0700418,5
0.0351576,8
0.0652061,6
0.0793876,4
0.0548296,5
0.0806375,7
0.0308117,8
0.0786958,5
0.0864786,5
0.0572073,7
0.052416,6
0.0475548,7
0.060321,6
0.0827197,4
0.0461412,8
0.032432,7
0.0779708,6
0.0738952,5
0.00134306,8
0.312459,8
0.0490397,8
0.0513945,8
0.0762911,5
5.78325e-15,10
0.0400296,8
0.0405525,6
0.0635428,6
0.47193,2
0.0705578,6
0.0516032,8
0.00440084,3
0.0522296,5
0.0560332,6
0.100193,6
0.11743,6
0.0577719,7
0.0235851,7
0.0538778,8
0.0936781,5
0.0688161,5
0.0533302,5
0.137548,1
0.0139139,4
0.072124,6
0.0892789,7
0.007989,4
0.0760718,4
0.0303839,7
0.0418089,7
0.0910606,6
0.103732,5
0.0282133,8
2.87603e-14,11
0.0018798,7
1.21296e-13,12
0.132898,3
0.0560261,8
0.0394344,8
0.11411,5
0.0815733,4
0.10327,4
0.0625133,6
0.00293939,7
0.0704401,7
0.124237,5
0.0434034,7
0.0990566,5
0.0898451,6
0.0813845,4
0.000457178,9
0.0719752,6
0.111416,5
0.0914175,5
3.95966e-14,21
0.0984958,12
1.09705e-12,13
0.051984,12
3.27697e-13,15
0.115065,11
1.12253e-12,14
0.29084,8
0.0187145,10
0.111148,11
0.0202214,9
4.88992e-14,14
0.00589403,7
0.0475716,7
0.0407565,8
0.0510027,6
0.0254111,10
0.0561172,7
0.0625003,7
0.0348147,9
0.0576378,6
0.0214988,7
0.00137511,11
0.0669176,6
0.0362215,7
0.0616715,6
0.0493675,7
0.080904,4
0.0416247,6
0.0333736,8
0.0304736,8
0.0556392,5
0.0478351,8
0.0744415,7
0.052213,5
0.0760354,5
0.0832914,5
0.0713376,6
0.0534788,7
0.0523543,5
0.0379013,7
0.0470508,8
0.0660142,8
0.0573324,5
0.0417105,8
0.0411094,7
0.00277607,7
0.0441778,7
0.0450814,5
0.408711,5
0.00707685,6
0.023836,9
0.0616848,6
0.538502,8
0.341427,6
0.0529095,5
0.00150276,12
0.00303097,6
0.0651119,5
0.026735,8
