RMSE,Penalty
0.0611591,3
4.15172e-14,21
1.11053e-14,17
6.76055e-15,16
9.414e-15,16
5.7113e-15,12
2.22463e-14,12
1.83936e-14,9
1.17945e-11,10
0.0258527,7
0.0245436,7
1.5402e-14,9
0.211637,7
0.208091,6
0.238718,5
1.94495e-13,9
0.17926,6
2.49647e-14,11
0.180535,7
0.26011,4
4.57749e-11,8
0.28455,4
0.0441767,5
5.02614e-15,11
3.46542e-13,8
3.24224e-09,8
0.0402518,5
1.47669e-13,10
0.0224817,7
0.0202231,7
0.0443925,7
1.16991e-13,9
0.417261,6
0.0298637,6
4.29406e-15,9
0.0141846,6
0.0296073,6
0.209473,6
0.135633,6
0.740914,3
0.036136,6
1.89792e-14,12
0.0328767,6
0.0371553,6
0.0997322,5
0.027221,6
0.0337908,6
1.03198e-14,11
0.0231224,6
3.75087e-14,10
0.0629903,6
0.0294773,7
0.0494025,4
0.0272697,7
0.0593727,3
7.77378e-14,10
0.0303226,6
5.80749e-15,8
1.02337e-14,9
0.0337832,6
0.02568,6
4.9683e-12,8
0.0286895,7
0.0376439,5
4.89658e-13,9
0.0305604,6
0.0344188,5
0.0328033,6
0.0183205,5
0.0423532,4
0.0300036,7
0.0259484,7
0.0368688,5
0.00315577,6
0.0358418,4
0.0304646,6
0.0192023,7
1.41195e-13,10
0.0270283,6
4.12168e-15,9
0.0304425,7
0.027957,6
2.16375e-15,13
0.0648296,5
0.0302167,6
0.0363039,5
0.0715321,4
0.0323023,5
0.00707097,7
0.102965,2
2.53921e-12,8
0.0261898,7
0.00155537,7
0.0609271,4
0.0379683,6
0.0314651,7
0.0249549,6
0.090216,3
1.59978e-12,8
0.0619423,4
0.000954008,5
3.15571e-15,21
1.95882e-14,12
3.05873e-11,13
3.5011e-14,14
2.53153e-15,14
2.80227e-13,11
2.53713e-14,13
0.108128,9
2.10697e-14,12
0.342676,7
0.0324872,9
0.218192,7
0.000762116,8
0.0153804,8
0.0417435,7
0.00666491,9
1.264e-14,10
0.0995328,7
0.0497802,6
8.58511e-15,10
0.0535002,6
0.109565,3
0.000460831,9
0.0629932,4
0.0744369,8
0.121238,5
0.0416161,8
0.0486975,5
0.0331735,9
0.109942,7
0.0509717,7
